[Sun Feb 25 17:57:46.987936 2024] [php:warn] [pid 2504246] [client 10.30.8.38:43166] PHP Warning:  require_once(/srv/users/gihbdmnb/nvryybs-m4/web-base-pop-it-mvc/pop-it-mvc/core/../vendor/autoload.php): Failed to open stream: No such file or directory in /srv/users/gihbdmnb/nvryybs-m4/web-base-pop-it-mvc/pop-it-mvc/core/bootstrap.php on line 6, referer: http://nvryybs-m4.wsr.ru/web-base-pop-it-mvc/
[Sun Feb 25 18:13:58.017397 2024] [php:warn] [pid 2516073] [client 10.30.8.38:58858] PHP Warning:  Undefined variable $posts in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 18:13:58.017559 2024] [php:warn] [pid 2516073] [client 10.30.8.38:58858] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 18:20:01.047117 2024] [core:error] [pid 2522192] [client 10.30.8.38:53656] AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace., referer: http://nvryybs-m4.wsr.ru/
[Sun Feb 25 18:21:41.395888 2024] [php:error] [pid 2523276] [client 10.30.8.38:39848] PHP Fatal error:  Uncaught Error: Class "Src\\Route" not found in /srv/users/gihbdmnb/nvryybs-m4/routes/web.php:5\nStack trace:\n#0 {main}\n  thrown in /srv/users/gihbdmnb/nvryybs-m4/routes/web.php on line 5, referer: http://nvryybs-m4.wsr.ru/routes/
[Sun Feb 25 18:21:45.050658 2024] [php:warn] [pid 2523278] [client 10.30.8.38:51286] PHP Warning:  Undefined variable $posts in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 18:21:45.050702 2024] [php:warn] [pid 2523278] [client 10.30.8.38:51286] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 18:23:46.980673 2024] [php:warn] [pid 2524316] [client 10.30.8.38:40782] PHP Warning:  Undefined variable $posts in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 18:23:46.980737 2024] [php:warn] [pid 2524316] [client 10.30.8.38:40782] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 18:42:05.875939 2024] [php:warn] [pid 2537390] [client 10.30.8.38:57642] PHP Warning:  Undefined variable $posts in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 18:42:05.875976 2024] [php:warn] [pid 2537390] [client 10.30.8.38:57642] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/gihbdmnb/nvryybs-m4/views/site/post.php on line 4, referer: http://nvryybs-m4.wsr.ru/views/site/
[Sun Feb 25 19:12:04.052126 2024] [php:warn] [pid 2559166] [client 10.30.8.38:51200] PHP Warning:  include(/srv/users/gihbdmnb/nvryybs-m4/core/../config/path.php): Failed to open stream: No such file or directory in /srv/users/gihbdmnb/nvryybs-m4/core/bootstrap.php on line 7, referer: http://nvryybs-m4.wsr.ru/
[Sun Feb 25 19:12:04.052163 2024] [php:warn] [pid 2559166] [client 10.30.8.38:51200] PHP Warning:  include(): Failed opening '/srv/users/gihbdmnb/nvryybs-m4/core/../config/path.php' for inclusion (include_path='.:/usr/share/php') in /srv/users/gihbdmnb/nvryybs-m4/core/bootstrap.php on line 7, referer: http://nvryybs-m4.wsr.ru/
[Sun Feb 25 19:12:04.052185 2024] [php:warn] [pid 2559166] [client 10.30.8.38:51200] PHP Warning:  Trying to access array offset on value of type bool in /srv/users/gihbdmnb/nvryybs-m4/core/bootstrap.php on line 10, referer: http://nvryybs-m4.wsr.ru/
[Sun Feb 25 19:12:04.052189 2024] [php:warn] [pid 2559166] [client 10.30.8.38:51200] PHP Warning:  foreach() argument must be of type array|object, null given in /srv/users/gihbdmnb/nvryybs-m4/core/bootstrap.php on line 10, referer: http://nvryybs-m4.wsr.ru/
[Sun Feb 25 19:16:21.148282 2024] [php:error] [pid 2565245] [client 10.30.8.38:37466] PHP Fatal error:  Uncaught Error: Class "Src\\Route" not found in /srv/users/gihbdmnb/nvryybs-m4/routes/web.php:5\nStack trace:\n#0 {main}\n  thrown in /srv/users/gihbdmnb/nvryybs-m4/routes/web.php on line 5, referer: http://nvryybs-m4.wsr.ru/routes/
[Sun Feb 25 19:17:56.361513 2024] [php:error] [pid 2565323] [client 10.30.8.38:34724] PHP Fatal error:  Uncaught Error: Class "Src\\Route" not found in /srv/users/gihbdmnb/nvryybs-m4/routes/web.php:5\nStack trace:\n#0 {main}\n  thrown in /srv/users/gihbdmnb/nvryybs-m4/routes/web.php on line 5, referer: http://nvryybs-m4.wsr.ru/routes/
